Website Name,Website Popularity,Error,Number of Errors
housespirits,4457039,REG_NO_PROMPT,1
jamescoffeeco,4522646,4.1.3 Status Messages,1
jamescoffeeco,4522646,3.3.2 Labels or Instructions,1
jamescoffeeco,4522646,Additional Elements 04,1
jamescoffeeco,4522646,JavaScript 05,1
jamescoffeeco,4522646,REG_NO_PROMPT,1
janeworld,4462983,4.1.3 Status Messages,1
janeworld,4462983,4.1.2 Name,1
janeworld,4462983,Additional Elements 04,1
janeworld,4462983,REG_NO_PROMPT,1
jessicarey,4470672,Additional Elements 03,1
jessicarey,4470672,Additional Elements 04,1
jessicarey,4470672,JavaScript 05,1
jessicarey,4470672,REG_CANT_GENERATE,1
jessicarey,4470672,1.3.1 Info and Relationships,1
jessicarey,4470672,1.3.3 Sensory Characteristics,1
jessicarey,4470672,3.3.2 Labels or Instructions,1
jessicarey,4470672,4.1.3 Status Messages,1
kingloupets,4466028,1.3.1 Info and Relationships,1
kingloupets,4466028,4.1.3 Status Messages,1
kingloupets,4466028,3.3.2 Labels or Instructions,1
kingloupets,4466028,Additional Elements 04,1
kingloupets,4466028,JavaScript 05,1
kingloupets,4466028,REG_NO_PROMPT,1
laprima,4497480,2.4.3 Focus Order,1
laprima,4497480,4.1.3 Status Messages,1
laprima,4497480,3.3.2 Labels or Instructions,1
laprima,4497480,Additional Elements 04,1
laprima,4497480,JavaScript 05,1
laprima,4497480,REG_NO_PROMPT,1
leanincircles,4470415,1.3.5 Identify Input Purpose,1
leanincircles,4470415,2.4.3 Focus Order,1
leanincircles,4470415,3.3.4 Redundant Entry,1
leanincircles,4470415,3.2.2 On Input,1
leanincircles,4470415,Additional Elements 02,1
leanincircles,4470415,Input Fields 04,1
leanincircles,4470415,JavaScript 05,1
leanincircles,4470415,REG_FILLED_WRONG_FIELD,1
montanajacks,4518566,Additional Elements 04,1
montanajacks,4518566,JavaScript 05,1
montanajacks,4518566,REG_NO_PROMPT,1
montanajacks,4518566,3.3.2 Labels or Instructions,1
montanajacks,4518566,4.1.3 Status Messages,1
mycurahome,4532990,3.3.2 Labels or Instructions,1
mycurahome,4532990,JavaScript 05,1
mycurahome,4532990,Additional Elements 04,1
mycurahome,4532990,REG_NO_PROMPT,1
opulentjewelers,4438606,Additional Elements 04,1
opulentjewelers,4438606,JavaScript 05,1
opulentjewelers,4438606,REG_NO_PROMPT,1
opulentjewelers,4438606,4.1.3 Status Messages,1
pharmadiversityjobboard,4499508,Additional Elements 02,1
pharmadiversityjobboard,4499508,Additional Elements 04,1
pharmadiversityjobboard,4499508,JavaScript 05,1
photofast,4510963,4.1.3 Status Messages,1
photofast,4510963,3.3.4 Redundant Entry,1
photofast,4510963,3.2.2 On Input,1
photofast,4510963,JavaScript 05,1
photofast,4510963,REG_FILLED_WRONG_FIELD,1
photofast,4510963,REG_NO_PROMPT,1
redmap,4515686,2.4.3 Focus Order,1
redmap,4515686,4.1.3 Status Messages,1
redmap,4515686,3.3.3 Error Suggestion,1
redmap,4515686,3.3.4 Redundant Entry,1
redmap,4515686,Additional Elements 04,1
redmap,4515686,JavaScript 05,1
redmap,4515686,REG_FILLED_WRONG_FIELD,1
romancewasborn,4517465,2.4.3 Focus Order,1
romancewasborn,4517465,Additional Elements 04,1
romancewasborn,4517465,JavaScript 05,1
romancewasborn,4517465,REG_NO_PROMPT,1
romancewasborn,4517465,1.3.3 Sensory Characteristics,1
romancewasborn,4517465,4.1.3 Status Messages,1
romancewasborn,4517465,3.3.2 Labels or Instructions,1
shop.tutorialswebsite,4469115,1.3.1 Info and Relationships,1
shop.tutorialswebsite,4469115,Additional Elements 03,1
shop.tutorialswebsite,4469115,Input Fields 04,1
shop.tutorialswebsite,4469115,REG_NO_PROMPT,1
shop.tutorialswebsite,4469115,REG_FILLED_WRONG_FIELD,1
shopvirtueandvice,4485458,1.3.1 Info and Relationships,1
shopvirtueandvice,4485458,1.3.3 Sensory Characteristics,1
shopvirtueandvice,4485458,2.4.3 Focus Order,1
shopvirtueandvice,4485458,4.1.3 Status Messages,1
shopvirtueandvice,4485458,3.3.2 Labels or Instructions,1
shopvirtueandvice,4485458,4.1.2 Name,1
shopvirtueandvice,4485458,JavaScript 05,1
shopvirtueandvice,4485458,REG_NO_PROMPT,1
wendybrandes,4453027,Additional Elements 04,1
wendybrandes,4453027,Input Fields 04,1
wendybrandes,4453027,Input Fields 05,1
wendybrandes,4453027,REG_FILLED_WRONG_FIELD,1
wendybrandes,4453027,REG_NO_PROMPT,1
zebraathletics,4458003,1.3.1 Info and Relationships,1
zebraathletics,4458003,2.4.3 Focus Order,1
zebraathletics,4458003,3.3.4 Redundant Entry,1
zebraathletics,4458003,Additional Elements 03,1
zebraathletics,4458003,Input Fields 04,1
zebraathletics,4458003,REG_FILLED_WRONG_FIELD,1
zeslecp,4479731,3.3.4 Redundant Entry,1
zeslecp,4479731,Additional Elements 04,1
zeslecp,4479731,JavaScript 05,1
